# SYNTHETIC DEMO DATA - not real employees. Origins are access grid
# zone ids, never street addresses. Generated by Backend/make_demo_roster.py
employee_ref,origin_zone_id,shift_label,shift_start,shift_end,has_vehicle
EMP-001,74,evening,15:00,23:00,yes
EMP-002,68,day,09:00,17:00,yes
EMP-003,29,day,09:00,17:00,yes
EMP-004,68,early,06:00,14:00,no
EMP-005,60,day,09:00,17:00,no
EMP-006,53,evening,15:00,23:00,yes
EMP-007,51,overnight,23:00,07:00,yes
EMP-008,65,early,06:00,14:00,no
EMP-009,74,early,06:00,14:00,yes
EMP-010,49,evening,15:00,23:00,no
EMP-011,93,early,06:00,14:00,yes
EMP-012,82,evening,15:00,23:00,yes
EMP-013,48,day,09:00,17:00,no
EMP-014,93,day,09:00,17:00,yes
EMP-015,31,day,09:00,17:00,no
EMP-016,49,day,09:00,17:00,no
EMP-017,36,early,06:00,14:00,no
EMP-018,53,evening,15:00,23:00,no
EMP-019,49,early,06:00,14:00,no
EMP-020,64,evening,15:00,23:00,yes
EMP-021,36,evening,15:00,23:00,yes
EMP-022,29,day,09:00,17:00,no
EMP-023,22,early,06:00,14:00,yes
EMP-024,49,early,06:00,14:00,yes
EMP-025,51,day,09:00,17:00,yes
EMP-026,52,evening,15:00,23:00,yes
EMP-027,31,day,09:00,17:00,yes
EMP-028,49,early,06:00,14:00,yes
EMP-029,74,day,09:00,17:00,yes
EMP-030,36,day,09:00,17:00,yes
EMP-031,48,early,06:00,14:00,yes
EMP-032,31,day,09:00,17:00,no
EMP-033,31,early,06:00,14:00,yes
EMP-034,111,evening,15:00,23:00,no
EMP-035,49,evening,15:00,23:00,yes
EMP-036,23,day,09:00,17:00,yes
EMP-037,51,evening,15:00,23:00,no
EMP-038,31,day,09:00,17:00,no
EMP-039,111,overnight,23:00,07:00,yes
EMP-040,30,day,09:00,17:00,no
EMP-041,36,early,06:00,14:00,yes
EMP-042,46,overnight,23:00,07:00,yes
EMP-043,36,early,06:00,14:00,yes
EMP-044,36,evening,15:00,23:00,yes
EMP-045,51,evening,15:00,23:00,no
EMP-046,53,day,09:00,17:00,no
EMP-047,29,day,09:00,17:00,no
EMP-048,7,overnight,23:00,07:00,no
EMP-049,52,evening,15:00,23:00,yes
EMP-050,46,early,06:00,14:00,no
EMP-051,49,evening,15:00,23:00,yes
EMP-052,64,overnight,23:00,07:00,no
EMP-053,93,evening,15:00,23:00,no
EMP-054,31,day,09:00,17:00,yes
EMP-055,111,evening,15:00,23:00,yes
EMP-056,4,evening,15:00,23:00,yes
EMP-057,100,evening,15:00,23:00,no
EMP-058,29,early,06:00,14:00,yes
EMP-059,51,day,09:00,17:00,no
EMP-060,63,early,06:00,14:00,no
